Name,Source,Author
生米煮成熟饭,Chinese Classic,Unknown
江郎才尽,Chinese Classic,Unknown
马革裹尸,Chinese Classic,Unknown
狸猫换太子,Chinese Classic,Unknown
事半功倍,Chinese Classic,Unknown
仓颉造字,Chinese Classic,Unknown
作茧自缚,Chinese Classic,Unknown
无中生有,Chinese Classic,Unknown
胸有成竹,Chinese Classic,Unknown
乐不思蜀,Chinese Classic,Unknown
井底之蛙,Chinese Classic,Unknown
惊弓之鸟,Chinese Classic,Unknown
玉兔捣药,Chinese Classic,Unknown
守株待兔,Chinese Classic,Unknown
因小失大,Chinese Classic,Unknown
高枕无忧,Chinese Classic,Unknown
举案齐眉,Chinese Classic,Unknown
青梅竹马,Chinese Classic,Unknown
白龙鱼服,Chinese Classic,Unknown
月下老人,Chinese Classic,Unknown
立竿见影,Chinese Classic,Unknown
百步穿杨,Chinese Classic,Unknown
对牛弹琴,Chinese Classic,Unknown
人定胜天,Chinese Classic,Unknown
自相矛盾,Chinese Classic,Unknown
精卫填海,Chinese Classic,Unknown
完璧归赵,Chinese Classic,Unknown
班门弄斧,Chinese Classic,Unknown
小巫见大巫,Chinese Classic,Unknown
语重心长,Chinese Classic,Unknown
围魏救赵,Chinese Classic,Unknown
杞人忧天,Chinese Classic,Unknown
一衣带水,Chinese Classic,Unknown
盘古开天辟地,Chinese Classic,Unknown
明察秋毫,Chinese Classic,Unknown
负荆请罪,Chinese Classic,Unknown
囫囵吞枣,Chinese Classic,Unknown
龙生九子,Chinese Classic,Unknown
百发百中,Chinese Classic,Unknown
叶公好龙,Chinese Classic,Unknown
瓜田李下,Chinese Classic,Unknown
玩物丧志,Chinese Classic,Unknown
众志成城,Chinese Classic,Unknown
破釜沉舟,Chinese Classic,Unknown
矫枉过正,Chinese Classic,Unknown
未雨绸缪,Chinese Classic,Unknown
夸父追日,Chinese Classic,Unknown
一叶知秋,Chinese Classic,Unknown
孟姜女哭长城（简化版）,Chinese Classic,Unknown
孙悟空大闹天宫,Chinese Classic,Unknown
风声鹤唳,Chinese Classic,Unknown
程门立雪,Chinese Classic,Unknown
养虎遗患,Chinese Classic,Unknown
鸡犬升天,Chinese Classic,Unknown
投鼠忌器,Chinese Classic,Unknown
螳臂当车,Chinese Classic,Unknown
三人行必有我师,Chinese Classic,Unknown
杀鸡儆猴,Chinese Classic,Unknown
刻骨铭心,Chinese Classic,Unknown
不寒而栗,Chinese Classic,Unknown
走马观花,Chinese Classic,Unknown
言而无信,Chinese Classic,Unknown
曹冲称象,Chinese Classic,Unknown
天花乱坠,Chinese Classic,Unknown
指鹿为马,Chinese Classic,Unknown
坐享其成,Chinese Classic,Unknown
白蛇传（简化版）,Chinese Classic,Unknown
掩耳盗铃,Chinese Classic,Unknown
不学无术,Chinese Classic,Unknown
一诺千金,Chinese Classic,Unknown
退避三舍,Chinese Classic,Unknown
铁杵成针,Chinese Classic,Unknown
草木皆兵,Chinese Classic,Unknown
如鱼得水,Chinese Classic,Unknown
夜郎自大,Chinese Classic,Unknown
画虎类犬,Chinese Classic,Unknown
唇枪舌剑,Chinese Classic,Unknown
杯水车薪,Chinese Classic,Unknown
鹤立鸡群,Chinese Classic,Unknown
寿比南山,Chinese Classic,Unknown
高山流水,Chinese Classic,Unknown
千里送鹅毛,Chinese Classic,Unknown
纸上谈兵,Chinese Classic,Unknown
毛遂自荐,Chinese Classic,Unknown
滥竽充数,Chinese Classic,Unknown
千军万马,Chinese Classic,Unknown
西王母赐蟠桃,Chinese Classic,Unknown
约法三章,Chinese Classic,Unknown
天衣无缝,Chinese Classic,Unknown
呆若木鸡,Chinese Classic,Unknown
愚公移山,Chinese Classic,Unknown
暗度陈仓,Chinese Classic,Unknown
迎刃而解,Chinese Classic,Unknown
神农尝百草,Chinese Classic,Unknown
东窗事发,Chinese Classic,Unknown
矮子看戏,Chinese Classic,Unknown
望梅止渴,Chinese Classic,Unknown
塞翁失马,Chinese Classic,Unknown
有口无心,Chinese Classic,Unknown
櫛风沐雨,Chinese Classic,Unknown
望夫石,Chinese Classic,Unknown
咄咄逼人,Chinese Classic,Unknown
一鸣惊人,Chinese Classic,Unknown
鹬蚌相争,Chinese Classic,Unknown
画龙点睛,Chinese Classic,Unknown
牛鼎烹鸡,Chinese Classic,Unknown
三顾茅庐,Chinese Classic,Unknown
夜长梦多,Chinese Classic,Unknown
图穷匕见,Chinese Classic,Unknown
入乡随俗,Chinese Classic,Unknown
水滴石穿,Chinese Classic,Unknown
望洋兴叹,Chinese Classic,Unknown
鲛人泣珠,Chinese Classic,Unknown
卧薪尝胆,Chinese Classic,Unknown
针锋相对,Chinese Classic,Unknown
亡羊补牢,Chinese Classic,Unknown
手不释卷,Chinese Classic,Unknown
庖丁解牛,Chinese Classic,Unknown
狐假虎威,Chinese Classic,Unknown
力不从心,Chinese Classic,Unknown
